trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,1,0,start,0.01,db,0.05,0.26708839999628253,15.221017800009577,15.221017800009577,15.523216400004458,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,2,1,up,0.01,db,0.05005759777690845,0.0005918999959249049,18.02284379999037,18.02284379999037,18.32304529999965,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,3,2,down,0.01,db,0.05,0.0005347999976947904,20.356110299995635,20.356110299995635,20.65602779999608,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,4,3,up,0.005,db,0.05002879059946805,0.0005002999969292432,22.772584799997276,22.772584799997276,23.071891800005687,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,5,4,up,0.005,db,0.05002879059946805,0.00045440002577379346,25.088945800001966,25.088945800001966,25.388962600001832,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,6,5,up,0.005,db,0.05002879059946805,0.0005555000097956508,27.438561099988874,27.438561099988874,27.738279200013494,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,7,6,up,0.005,db,0.05005759777690844,0.0020161000138614327,29.754889500007266,29.754889500007266,30.05484960001195,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,8,7,up,0.005,db,0.05008642154186699,0.00046710000606253743,32.138002299994696,32.138002299994696,32.43790399999125,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,9,8,up,0.005,db,0.05008642154186699,0.0006308000010903925,34.43736139999237,34.43736139999237,34.73725239999476,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,10,9,up,0.005,db,0.05008642154186699,0.0005905999860260636,36.820524100010516,36.820524100010516,37.12033979999251,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,11,10,up,0.005,db,0.050115261903894974,0.0005508000031113625,39.23715770000126,39.23715770000126,39.53681190000498,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,12,11,up,0.005,db,0.050144118872549194,0.0004966999986208975,41.60342729999684,41.60342729999684,,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,13,12,up,0.005,db,0.05017299245739194,0.0005634999834001064,43.886604900006205,43.886604900006205,44.18641339999158,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,14,13,up,0.005,db,0.05017299245739194,0.0005865000130143017,46.21955770000932,46.21955770000932,46.519208300014725,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,15,14,up,0.005,db,0.05017299245739194,0.0005390000005718321,48.686060100008035,48.686060100008035,48.98545629999717,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,16,15,down,0.005,db,0.050144118872549194,0.0005093000072520226,51.08514380000997,51.08514380000997,51.38538039999548,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,17,16,down,0.005,db,0.050144118872549194,0.0005759999912697822,53.4350689999992,53.4350689999992,53.734954399988055,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,18,17,down,0.005,db,0.050144118872549194,0.0005702000053133816,55.817997300007846,55.817997300007846,56.118012099992484,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,19,18,up,0.005,db,0.05017299245739194,0.0005252999835647643,58.16804359998787,58.16804359998787,58.467761400010204,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,20,19,up,0.005,db,0.05020188266799102,0.0006710000161547214,60.63418799999636,60.63418799999636,60.93397240000195,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,21,20,up,0.005,db,0.05020188266799102,0.0005250000103842467,62.983963200007565,62.983963200007565,63.28362500001094,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,22,21,up,0.005,db,0.05023078951391974,0.0005623000033665448,65.46695750000072,65.46695750000072,65.76692530000582,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,23,22,up,0.005,db,0.05023078951391974,0.0006797999958507717,67.93355630000588,67.93355630000588,68.23333200000343,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,24,23,up,0.005,db,0.05023078951391974,0.0005700999754481018,70.41623540001456,70.41623540001456,70.71664020000026,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,25,24,down,0.005,db,0.05020188266799102,0.0005802000232506543,72.78258729999652,72.78258729999652,73.08245730001363,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,26,25,up,0.005,db,0.05023078951391974,0.0004886999959126115,75.58195059999707,75.58195059999707,75.88236859999597,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,27,26,up,0.005,db,0.05023078951391974,0.0003535999858286232,77.9654057000007,77.9654057000007,78.26526580000063,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,28,27,up,0.005,db,0.050259713004756915,0.0005953999934718013,80.41465429999516,80.41465429999516,80.71453830000246,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,29,28,up,0.005,db,0.05028865315008689,0.0004901000065729022,82.89789110000129,82.89789110000129,83.19776760000968,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,30,29,up,0.005,db,0.05028865315008689,0.0004985000123269856,85.3807295000006,85.3807295000006,85.68061690000468,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,31,30,up,0.005,db,0.05028865315008689,0.0004191999905742705,87.73061060000327,87.73061060000327,88.0306442999863,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,32,31,down,0.005,db,0.050259713004756915,0.0005633999826386571,90.04714189999504,90.04714189999504,90.34719000000041,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,33,32,up,0.005,db,0.05028865315008689,0.0005071000196039677,92.57981309999013,92.57981309999013,,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,34,33,up,0.005,db,0.05028865315008689,0.00037159997737035155,94.86336089999531,94.86336089999531,95.16331110001192,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,35,34,up,0.005,db,0.05031760995949952,0.0004146000137552619,97.19573790000868,97.19573790000868,97.49564189999364,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,36,35,up,0.005,db,0.05034658344259019,0.00026339999749325216,99.59575330000371,99.59575330000371,99.89631640000152,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,37,36,up,0.005,db,0.050375573608959785,0.00034440000308677554,102.02923479999299,102.02923479999299,102.32863370000268,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,38,37,up,0.005,db,0.050404580468214756,0.0004869000113103539,104.37864000000991,104.37864000000991,104.67809470000793,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,39,38,up,0.005,db,0.05043360402996706,0.0004872000135947019,106.77797950000968,106.77797950000968,,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,40,39,up,0.005,db,0.05046264430383419,0.0002649999805726111,109.04430660000071,109.04430660000071,109.34432480001124,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,41,40,up,0.005,db,0.05046264430383419,0.0002592000237200409,111.49416979998932,111.49416979998932,111.79394030000549,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,42,41,up,0.005,db,0.05046264430383419,0.0003615999885369092,113.8602688999963,113.8602688999963,114.160464399989,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,43,42,up,0.005,db,0.05049170129943919,0.0003360999980941415,116.27708209998673,116.27708209998673,116.57684359999257,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,44,43,up,0.005,db,0.050520775026410635,0.0004383999912533909,118.5932235000073,118.5932235000073,118.89331230000244,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,45,44,up,0.005,db,0.050520775026410635,0.0004358000005595386,120.87628729999415,120.87628729999415,121.17610519999289,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,46,45,up,0.005,db,0.050520775026410635,0.0003541999903973192,123.27615119999973,123.27615119999973,123.57597090001218,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,47,46,down,0.005,db,0.05049170129943919,0.00034240001696161926,125.69247650000034,125.69247650000034,125.9922174999956,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,48,47,up,0.005,db,0.050520775026410635,0.0007411999977193773,128.0754692000046,128.0754692000046,128.3751154000056,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,49,48,up,0.005,db,0.050520775026410635,0.00039110000943765044,130.50839070000802,130.50839070000802,130.80826399999205,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,50,49,up,0.005,db,0.050549865494382645,0.0003192999865859747,132.92454509998788,132.92454509998788,133.2250170999905,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,51,50,up,0.005,db,0.050549865494382645,0.0002673999988473952,135.3244616999873,135.3244616999873,135.62424679999822,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,52,51,up,0.005,db,0.05057897271299489,0.0002796000044327229,137.70741589998943,137.70741589998943,138.00738960001036,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,53,52,up,0.005,db,0.05060809669189259,0.000370699999621138,140.12403090001317,140.12403090001317,140.4241037000029,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,54,53,up,0.005,db,0.05060809669189259,0.0004068000125698745,142.52351289999206,142.52351289999206,142.8238699999929,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,55,54,up,0.005,db,0.05060809669189259,0.0002443999983370304,144.88969869998982,144.88969869998982,145.18985379999503,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,56,55,up,0.005,db,0.05063723744072651,0.0002550999925006181,147.38987179999822,147.38987179999822,147.69012640000437,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,57,56,up,0.005,db,0.05063723744072651,0.0004769999941345304,149.83950550001464,149.83950550001464,150.1393539000128,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,58,57,up,0.005,db,0.05063723744072651,0.0007166000141296536,152.25591129998793,152.25591129998793,152.55603889998747,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,59,58,down,0.005,db,0.05060809669189259,0.0006358000100590289,154.6889654000115,154.6889654000115,154.98902400000952,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,60,59,up,0.005,db,0.05063723744072651,0.0002677000011317432,157.10533570000553,157.10533570000553,157.405185599986,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,61,60,up,0.005,db,0.050666394969153,0.0005743000074289739,159.58816109999316,159.58816109999316,159.88803709999775,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,62,61,up,0.005,db,0.05069556928683393,0.0005567000189330429,161.98788940001396,161.98788940001396,162.28784070000984,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,63,62,up,0.005,db,0.05069556928683393,0.0005552000075113028,164.37089819999528,164.37089819999528,164.670558599988,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,64,63,up,0.005,db,0.05072476040343676,0.000515899999300018,166.75363160000416,166.75363160000416,167.05365740001434,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,65,64,up,0.005,db,0.05072476040343676,0.00039439997635781765,169.28669089998584,169.28669089998584,169.58687860000646,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,66,65,up,0.005,db,0.05075396832863451,0.00044100001105107367,171.65299790000427,171.65299790000427,171.95297320000827,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,67,66,up,0.005,db,0.050783193072105784,0.0008187999774236232,174.36965460001375,174.36965460001375,174.66956569999456,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,68,67,up,0.005,db,0.05081243464353473,0.0006102999905124307,176.78588420001324,176.78588420001324,177.08574919999228,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,69,68,up,0.005,db,0.05081243464353473,0.0004413000133354217,179.30250079999678,179.30250079999678,179.60243679999257,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,70,69,up,0.005,db,0.05084169305261109,0.0006759999960195273,181.75196910000523,181.75196910000523,182.0517814999912,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,71,70,up,0.005,db,0.050870968309030186,0.00046529999235644937,184.2352772000013,184.2352772000013,184.5350075000024,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,72,71,up,0.005,db,0.050870968309030186,0.0005051000043749809,186.75122599999304,186.75122599999304,187.05109049999737,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,73,72,up,0.005,db,0.050870968309030186,0.0004769999941345304,189.18433849999565,189.18433849999565,189.48426719999406,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,74,73,down,0.005,db,0.05084169305261109,0.000510300014866516,191.63424549999763,191.63424549999763,191.93397350001032,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,75,74,down,0.005,db,0.05084169305261109,0.0006277000065892935,194.01686900001368,194.01686900001368,194.3168267000001,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,76,75,down,0.005,db,0.05084169305261109,0.0004995999915990978,196.40017030001036,196.40017030001036,196.7002244000032,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,77,76,down,0.005,db,0.05081243464353473,0.0006510999810416251,198.94952190000913,198.94952190000913,199.24967950000428,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,78,77,down,0.005,db,0.05081243464353473,0.0002685000072233379,201.44950960000278,201.44950960000278,201.74909329999355,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,79,78,up,0.005,db,0.05084169305261109,0.0005759999912697822,204.04917099999147,204.04917099999147,204.34933239998645,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,80,79,up,0.005,db,0.05084169305261109,0.0006099999882280827,206.79859379999107,206.79859379999107,207.0988900999946,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,81,80,up,0.005,db,0.05084169305261109,0.0006021999870426953,209.1984295999864,209.1984295999864,209.49832909999532,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,82,81,down,0.005,db,0.05081243464353473,0.0005761999927926809,211.6645484000037,211.6645484000037,211.96460179999121,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,83,82,up,0.005,db,0.05084169305261109,0.0005176999839022756,214.0979359000048,214.0979359000048,214.39777479998884,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,84,83,up,0.005,db,0.05084169305261109,0.0005323999794200063,216.58084849998704,216.58084849998704,216.88067509999382,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,85,84,up,0.005,db,0.050870968309030186,0.0005639000155497342,219.0304332000087,219.0304332000087,219.33045879998826,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,86,85,up,0.005,db,0.05090026042249292,0.0005335999885573983,221.3634774000093,221.3634774000093,221.66342180001084,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,87,86,up,0.005,db,0.05092956940270578,0.0004340999876148999,223.79642900000908,223.79642900000908,224.09629809999024,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,88,87,up,0.005,db,0.05092956940270578,0.0005180999869480729,226.36279710000963,226.36279710000963,226.66277470000205,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,89,88,up,0.005,db,0.05092956940270578,0.00048409998998977244,228.96261109999614,228.96261109999614,229.26239580000401,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,90,89,down,0.005,db,0.05090026042249292,0.0005818000063300133,231.44578420001199,231.44578420001199,231.7457762999984,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,91,90,down,0.005,db,0.05090026042249292,0.0006389000045601279,233.82878310000524,233.82878310000524,234.12872840001364,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,92,91,down,0.005,db,0.05090026042249292,0.000602099986281246,236.26166950000334,236.26166950000334,236.56141729999217,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,93,92,down,0.005,db,0.050870968309030186,0.0004834999854210764,238.66147960000671,238.66147960000671,238.96155489998637,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,94,93,up,0.005,db,0.05090026042249292,0.0005250000103842467,241.06099249998806,241.06099249998806,241.3608668000088,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,95,94,up,0.005,db,0.05092956940270578,0.0003924000193364918,243.6607515999931,243.6607515999931,243.96078709998983,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,96,95,up,0.005,db,0.05095889525938084,0.0006111999973654747,246.14576630000374,246.14576630000374,246.46042819999275,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,97,96,up,0.005,db,0.05098823800223577,0.0007172000186983496,248.61019730000407,248.61019730000407,248.91028079998796,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,98,97,up,0.005,db,0.051017597640993846,0.0005616999987978488,251.02660760001163,251.02660760001163,251.32648150000023,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,99,98,up,0.005,db,0.05104697418538392,0.0005650000239256769,253.50935869998648,253.50935869998648,253.80936590000056,1,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
cont,0.05,"(0.01, 0.01, 0.005, 0.005)",1,0,0,100,99,up,0.005,db,0.05104697418538392,0.0006605000235140324,255.87565339999855,255.87565339999855,256.175768599991,0,692860,001,2022-09-09_13h08.19.178,grating,2022.2.4,60.15117192797404,
